task,count,pct,ai_autonomy_mean,ai_autonomy_median,ai_education_years_mean,human_education_years_mean,human_only_time_mean,human_with_ai_time_mean
"accompany buyers during visits to and inspections of property, advising them on the suitability and value of the homes they are visiting.",24.0000,0.0024,3.3750,3.5000,10.6250,10.3750,1.3396,12.1250
act as advisers to student organizations.,98.0000,0.0098,3.5102,4.0000,11.3469,11.9694,1.6691,13.4031
act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,68.0000,0.0068,2.8971,3.0000,12.9559,12.8676,2.0931,16.5074
"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",74.0000,0.0074,3.2297,3.0000,14.8514,14.7973,3.5926,15.8514
act as liaisons between on-site managers or tenants and owners.,39.0000,0.0039,3.0256,3.0000,11.0769,11.0769,0.8508,10.2821
adapt instructional content or delivery methods for different levels or types of learners.,351.0000,0.0351,3.3134,4.0000,11.2593,12.5214,2.8456,12.4501
adapt software and accompanying technical documents to another language and culture.,21.0000,0.0021,3.2857,4.0000,10.9524,11.2857,2.1881,11.1190
adapt teaching methods and instructional materials to meet students' varying needs and interests.,112.0000,0.0112,3.4196,4.0000,9.8929,11.1161,2.7306,11.6116
adapt text to accommodate musical requirements of composers and singers.,186.0000,0.0186,3.1720,3.0000,10.0161,10.4570,3.7623,16.1479
adapt the quantity of ingredients to match the amount of items to be baked.,86.0000,0.0086,3.3721,3.5000,7.4186,6.9884,0.6823,15.6977
"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",78.0000,0.0078,2.6538,2.5000,11.2564,11.2051,5.3587,8.9936
"address employee relations issues, such as harassment allegations, work complaints, or other employee concerns.",39.0000,0.0039,3.5385,4.0000,12.9487,12.7949,1.9597,15.1282
"address legal issues, such as child abuse and discipline, assisting with hearings and providing testimony to inform custody arrangements.",20.0000,0.0020,2.9000,3.0000,13.1500,12.1000,3.3250,24.0250
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",1039.0000,0.1039,2.9625,3.0000,12.0481,12.1242,0.7842,9.9666
"adjust apertures, shutter speeds, and camera focus based on a combination of factors such as lighting, field depth, subject motion, film type, and film speed.",22.0000,0.0022,3.6364,4.0000,9.5909,8.2727,1.0818,13.9545
"adjust coaching techniques, based on the strengths and weaknesses of athletes.",31.0000,0.0031,3.8065,4.0000,10.4194,8.9677,2.4677,27.6452
adjust navigation according to weather conditions.,20.0000,0.0020,3.3500,3.0000,9.2000,8.7500,1.5600,8.7500
"adjust or replace defective or improperly functioning circuitry or electronics components, using hand tools or soldering iron.",32.0000,0.0032,3.6250,4.0000,11.8438,10.6250,1.0812,17.5625
adjust sales scripts to better target the needs and interests of specific individuals.,141.0000,0.0141,3.3901,4.0000,11.7163,11.9787,1.8262,15.1135
"adjust, repair, or replace malfunctioning components or assemblies, using hand tools or soldering irons.",20.0000,0.0020,3.5000,4.0000,9.5000,8.2500,0.8650,25.6250
"administer and score applicant and employee aptitude, personality, and interest assessment instruments.",15.0000,0.0015,3.6000,4.0000,14.0667,14.1333,2.4667,10.4667
administer construction contracts.,34.0000,0.0034,2.9412,3.0000,14.6765,14.3824,2.9450,13.0441
administer document and system access rights and revision control to ensure security of system and integrity of master documents.,88.0000,0.0088,3.0682,3.0000,13.3636,13.6136,4.3606,11.9602
"administer highway planning, construction, or maintenance.",55.0000,0.0055,3.6364,4.0000,14.2000,13.9091,6.3527,13.7636
administer online purchasing systems.,220.0000,0.0220,3.0227,3.0000,10.4045,9.9864,1.7818,11.4068
administer standardized ability and achievement tests and interpret results to determine students' strengths and areas of need.,43.0000,0.0043,3.1395,3.0000,11.7442,11.7209,1.7226,11.7093
"administer treatments or therapies, such as homeopathy, hydrotherapy, oriental or ayurvedic medicine, electrotherapy and diathermy, using physical agents including air, heat, cold, water, sound, or ultraviolet light to catalyze the body to heal itself.",107.0000,0.0107,3.6168,4.0000,10.7664,9.5047,2.1119,10.0888
"administer, dispense, or prescribe natural medicines such as food or botanical extracts, herbs, dietary supplements, vitamins, nutraceuticals, and amino acids.",210.0000,0.0210,3.7571,4.0000,10.6333,8.5714,1.6407,10.5190
"administer, proctor, or score academic or diagnostic assessments.",242.0000,0.0242,2.7190,3.0000,11.7149,12.0661,1.4873,13.7169
advise and instruct teachers employed in school systems by providing activities such as in-service seminars.,32.0000,0.0032,3.7188,4.0000,13.6562,13.9688,2.0891,14.8438
advise and teach students.,422.0000,0.0422,3.3744,4.0000,15.2536,15.8460,4.6930,20.1173
"advise animal owners regarding sanitary measures, feeding, general care, medical conditions, or treatment options.",390.0000,0.0390,3.4077,4.0000,9.3667,8.0795,0.9444,11.3429
advise athletes on the proper use of equipment.,25.0000,0.0025,3.4800,4.0000,8.0400,7.9200,0.7404,7.7400
"advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",53.0000,0.0053,3.7358,4.0000,11.9057,11.3208,4.9151,10.1509
"advise client on interior design factors such as space planning, layout and use of furnishings or equipment, and color coordination.",268.0000,0.0268,3.4701,4.0000,9.3396,8.8470,2.0394,12.8862
advise clients about colors and types of makeup and instruct them in makeup application techniques.,68.0000,0.0068,3.7647,4.0000,8.2500,8.1324,1.0051,14.6103
advise clients about proper clothing and shoes.,23.0000,0.0023,3.5217,4.0000,8.6522,8.1304,0.5391,6.5652
"advise clients concerning business transactions, claim liability, advisability of prosecuting or defending lawsuits, or legal rights and obligations.",310.0000,0.0310,3.5581,4.0000,13.4581,12.0903,2.5897,20.5645
advise clients on financial and legal matters such as investments and taxes.,1373.0000,0.1373,3.4108,4.0000,13.0583,12.4042,2.6088,16.7735
advise clients on how they could be helped by counseling.,462.0000,0.0462,3.9156,4.0000,9.8658,8.9199,1.4059,18.3344
"advise clients on market conditions, prices, mortgages, legal requirements and related matters.",1748.0000,0.1748,3.4062,4.0000,12.4594,11.6356,2.6919,14.5758
advise clients on nail care and use of products and colors.,45.0000,0.0045,3.4444,4.0000,8.4222,8.0222,3.7716,12.2333
advise clients on transportation and payment methods.,28.0000,0.0028,3.3571,3.5000,9.0357,8.9286,1.1393,7.5714
"advise clients or community groups on issues related to improving general health, such as diet or exercise.",25.0000,0.0025,3.7600,4.0000,9.2800,7.8000,0.7464,4.5600
"advise clients or community groups on issues related to risk or prevention of conditions such as lead poisoning, human immunodeficiency virus (hiv), prenatal substance abuse, or domestic violence.",15.0000,0.0015,3.2000,3.0000,9.8667,8.0000,0.5833,6.7000
"advise clients or community groups on issues related to sanitation or hygiene, such as flossing or hand washing.",24.0000,0.0024,3.2917,3.0000,8.1667,6.3333,0.4596,3.8542
advise clients or community groups to ensure parental understanding of the importance of childhood immunizations and how to access immunization services.,17.0000,0.0017,2.8824,3.0000,10.0000,9.9412,0.8735,4.9706
"advise clients or respond to inquiries about financial matters in person or via phone, email, web site, or internet chat.",23.0000,0.0023,3.1739,3.0000,11.7391,11.3913,1.3165,10.7609
"advise construction firms or government agencies on dam or road construction, foundation design, land use, or resource management.",50.0000,0.0050,3.7400,4.0000,14.7600,14.5000,4.1800,18.6200
advise corporations on issues involving corporate image projects or problems.,66.0000,0.0066,3.5606,4.0000,11.8939,11.8636,1.7356,11.1136
advise customer about or perform maintenance of software system.,41.0000,0.0041,3.4634,4.0000,11.7805,12.0488,2.2341,9.6829
"advise customers concerning equipment operation, maintenance, or programming.",257.0000,0.0257,3.4747,4.0000,8.9611,8.1479,1.1351,12.8696
advise customers of necessary actions and strategies for debt repayment.,154.0000,0.0154,3.4805,4.0000,12.5909,11.4091,2.2727,17.0000
advise customers on plant selection or care.,145.0000,0.0145,3.4483,4.0000,7.8897,7.0897,0.6854,10.5793
advise customers on product usage to improve production.,71.0000,0.0071,3.6620,4.0000,9.3239,8.5070,1.2070,12.4718
"advise customers on the selection of medication brands, medical equipment, or healthcare supplies.",43.0000,0.0043,3.4186,4.0000,10.0930,8.4651,1.2884,9.4070
advise customers on use and care of merchandise.,103.0000,0.0103,3.4175,4.0000,7.8058,6.8544,0.5970,6.4515
advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.,28.0000,0.0028,3.6786,4.0000,12.9643,12.6429,2.5411,13.9643
